G20,isEU
Argentina,FALSE
Australia,FALSE
Brazil,FALSE
Canada,FALSE
China,FALSE
France,TRUE
Germany,TRUE
India,FALSE
Indonesia,FALSE
Italy,TRUE
Japan,FALSE
"Korea, South",FALSE
Mexico,FALSE
Russia,FALSE
Saudi Arabia,FALSE
South Africa,FALSE
Turkey,FALSE
United Kingdom,FALSE
US,FALSE
Austria,TRUE
Belgium,TRUE
Bulgaria,TRUE
Croatia,TRUE
Cyprus,TRUE
Czechia,TRUE
Denmark,TRUE
Estonia,TRUE
Finland,TRUE
Greece,TRUE
Hungary,TRUE
Ireland,TRUE
Latvia,TRUE
Lithuania,TRUE
Luxembourg,TRUE
Malta,TRUE
Netherlands,TRUE
Poland,TRUE
Portugal,TRUE
Romania,TRUE
Slovakia,TRUE
Slovenia,TRUE
Spain,TRUE
Sweden,TRUE
